t,alt
0.0,0.43
1.0,0.02
2.0,0.06
3.0,0.01
4.0,0.04
5.0,-0.02
6.0,-0.13
7.0,-0.15
8.0,0.19
9.0,1.11
10.0,2.31
11.0,3.69
12.0,5.20
13.0,6.71
14.0,8.22
15.0,9.80
16.0,11.08
17.0,12.18
18.0,13.15
19.0,14.16
20.0,15.19
21.0,16.06
22.0,16.62
23.0,16.62
24.0,16.98
25.0,17.64
26.0,18.39
27.0,19.01
28.0,19.24
29.0,19.28
30.0,19.33
31.0,19.41
32.0,19.41
33.0,19.42
34.0,19.45
35.0,19.49
36.0,19.54
37.0,19.53
38.0,19.53
39.0,19.57
40.0,19.60
41.0,19.62
42.0,19.62
43.0,19.59
44.0,19.64
45.0,19.67
46.0,19.66
47.0,19.69
48.0,19.68
49.0,19.66
50.0,19.65
51.0,19.64
52.0,19.59
53.0,19.62
54.0,19.52
55.0,19.14
56.0,18.77
57.0,18.32
58.0,17.90
59.0,17.50
60.0,17.09
61.0,16.65
62.0,16.25
63.0,15.92
64.0,15.54
65.0,15.11
66.0,14.68
67.0,14.31
68.0,13.89
69.0,13.48
70.0,13.10
71.0,12.73
72.0,12.46
73.0,12.32
74.0,12.27
75.0,12.21
76.0,12.20
77.0,12.26
78.0,12.26
79.0,12.19
80.0,12.16
81.0,12.22
82.0,12.20
83.0,12.13
84.0,12.14
85.0,12.11
86.0,12.11
87.0,12.13
88.0,12.10
89.0,12.12
90.0,12.07
91.0,12.10
92.0,12.07
93.0,12.06
94.0,12.02
95.0,12.06
96.0,12.07
97.0,12.06
98.0,12.04
99.0,12.04
100.0,12.04
101.0,12.07
102.0,12.04
103.0,12.01
104.0,12.09
105.0,12.07
106.0,12.04
107.0,12.06
108.0,11.96
109.0,11.96
110.0,11.95
111.0,11.92
112.0,11.89
113.0,11.86
114.0,11.87
115.0,11.86
116.0,11.86
117.0,11.89
118.0,11.87
119.0,11.87
120.0,11.89
121.0,11.86
122.0,11.87
123.0,11.87
124.0,11.85
125.0,11.88
126.0,11.86
127.0,11.91
128.0,11.88
129.0,11.88
130.0,11.91
131.0,11.96
132.0,11.97
133.0,11.95
134.0,11.90
135.0,11.88
136.0,11.88
137.0,11.88
138.0,11.88
139.0,11.96
140.0,11.96
141.0,12.01
142.0,11.97
143.0,12.00
144.0,12.04
145.0,12.05
146.0,12.04
147.0,12.05
148.0,12.09
149.0,12.07
150.0,12.07
151.0,12.09
152.0,12.12
153.0,12.09
154.0,12.08
155.0,12.10
156.0,12.14
157.0,12.15
158.0,12.16
159.0,12.18
160.0,12.26
161.0,12.34
162.0,12.40
163.0,12.45
164.0,12.43
165.0,12.43
166.0,12.37
167.0,12.36
168.0,12.32
169.0,12.33
170.0,12.34
171.0,12.34
172.0,12.29
173.0,12.28
174.0,12.29
175.0,12.25
176.0,12.28
177.0,12.28
178.0,12.26
179.0,12.27
180.0,12.22
181.0,12.15
182.0,12.17
183.0,12.18
184.0,12.18
185.0,12.19
186.0,11.85
187.0,11.52
188.0,11.30
189.0,11.00
190.0,10.38
191.0,9.89
192.0,9.50
193.0,9.11
194.0,8.70
195.0,8.28
196.0,7.89
197.0,7.50
198.0,7.05
199.0,6.56
200.0,6.20
201.0,5.84
202.0,5.46
203.0,5.07
204.0,4.77
205.0,4.49
206.0,4.20
207.0,3.93
208.0,3.69
209.0,3.34
210.0,3.02
211.0,2.73
212.0,2.45
213.0,2.19
214.0,1.88
215.0,1.57
216.0,1.27
217.0,0.98
218.0,0.65
219.0,0.73
220.0,1.64
221.0,2.65
222.0,3.57
223.0,4.59
224.0,5.54
225.0,6.54
226.0,7.56
227.0,8.50
228.0,9.48
229.0,10.50
230.0,11.47
231.0,12.47
232.0,13.47
233.0,14.39
234.1,15.43
235.1,16.36
236.1,16.74
237.1,16.73
238.1,16.84
239.1,17.05
240.1,17.39
241.1,17.66
242.1,18.04
243.1,18.34
244.1,18.60
245.1,18.86
246.1,19.06
247.1,19.23
248.1,19.30
249.1,19.38
250.1,19.41
251.1,19.49
252.1,19.49
253.1,19.40
254.1,19.37
255.1,19.41
256.1,19.37
257.1,19.35
258.1,19.38
259.1,19.44
260.1,19.40
261.1,19.34
262.1,19.35
263.1,19.36
264.1,19.34
265.1,19.30
266.1,19.30
267.1,19.32
268.1,19.34
269.1,19.30
270.1,19.30
271.1,19.28
272.1,19.31
273.1,19.30
274.1,19.31
275.1,19.39
276.1,19.36
277.1,19.31
278.1,19.23
279.1,19.16
280.1,18.85
281.1,18.46
282.1,18.11
283.1,17.74
284.1,17.32
285.1,16.94
286.1,16.57
287.1,16.19
288.1,15.81
289.1,15.44
290.1,15.06
291.1,14.69
292.1,14.27
293.1,13.90
294.1,13.49
295.1,13.05
296.1,12.65
297.1,12.26
298.1,11.88
299.1,11.45
300.1,11.05
301.1,10.69
302.1,10.33
303.1,9.96
304.1,9.53
305.1,9.13
306.1,8.75
307.1,8.34
308.1,7.98
309.1,7.57
310.1,7.16
311.1,6.86
312.1,6.43
313.1,5.98
314.1,5.60
315.1,5.22
316.1,4.90
317.1,4.60
318.1,4.28
319.1,3.99
320.1,3.67
321.1,3.36
322.1,3.11
323.1,2.81
324.1,2.52
325.1,2.21
326.1,1.87
327.1,1.55
328.1,1.25
329.1,0.93
330.1,0.66
331.1,0.38
332.1,0.35
333.1,0.23
334.1,-0.06
335.1,-0.16
336.1,-0.24
337.1,-0.26
338.1,0.01
339.1,-0.00
340.1,0.00
341.1,0.18
342.1,0.23
343.1,0.33
344.1,-0.03
345.1,-0.02
346.1,0.04
347.1,0.39
348.1,1.29
349.1,2.48
350.1,3.83
351.1,5.17
352.1,6.57
353.1,7.93
354.1,9.24
355.1,10.62
356.1,11.59
357.1,12.54
358.1,13.56
359.1,14.60
360.1,15.53
361.1,16.21
362.1,16.61
363.1,16.55
364.1,16.84
365.1,17.50
366.1,18.20
367.1,18.53
368.1,18.63
369.1,18.70
370.1,18.75
371.1,18.71
372.1,18.76
373.1,18.75
374.1,18.77
375.1,18.80
376.1,18.83
377.1,18.85
378.1,18.93
379.1,18.93
380.1,18.96
381.1,18.96
382.1,18.97
383.1,18.99
384.1,19.06
385.1,19.11
386.1,19.10
387.1,19.12
388.1,19.09
389.1,19.04
