t,x,y
0.0,-0.0,0.0
2.0,0.0,0.0
4.0,-0.0,0.0
6.0,-0.0,0.0
8.0,0.1,0.1
10.0,0.0,0.0
12.0,-0.0,0.0
14.0,0.1,0.1
16.0,0.0,0.0
18.0,0.0,0.0
20.0,0.0,0.0
22.0,0.0,0.0
24.0,1.0,0.6
26.0,9.9,4.8
28.0,14.3,6.9
30.0,23.1,7.5
32.0,41.7,8.7
34.0,61.3,10.0
36.0,81.3,11.4
38.0,101.3,12.9
40.0,121.2,14.2
42.0,137.3,15.5
44.0,146.1,16.0
46.0,149.1,17.0
48.0,150.7,26.5
50.0,154.7,42.0
52.0,156.7,48.7
54.0,154.5,49.8
56.0,144.9,51.2
58.0,134.9,52.6
60.0,124.8,54.0
62.0,114.8,55.4
64.0,104.9,56.8
66.0,94.8,58.3
68.0,84.9,59.7
70.0,74.9,61.1
72.0,65.9,62.5
74.0,63.6,62.9
76.0,71.7,63.0
78.0,89.7,63.0
80.0,109.6,62.9
82.0,129.7,62.9
84.0,149.8,63.0
86.0,169.7,63.0
88.0,189.2,63.0
90.0,209.0,63.1
92.0,229.0,63.1
94.0,249.0,63.1
96.0,264.9,63.0
98.0,273.3,63.1
100.0,276.3,63.7
102.0,276.9,71.7
104.0,277.5,77.0
106.0,270.1,76.7
108.0,252.3,76.7
110.0,232.4,76.9
112.0,212.3,77.1
114.0,192.3,77.3
116.0,172.5,77.5
118.0,152.5,77.8
120.0,132.5,78.0
122.0,112.4,78.2
124.0,92.4,78.4
126.0,75.9,78.6
128.0,66.7,78.8
130.0,63.4,79.4
132.0,62.6,87.4
134.0,62.2,92.7
136.0,62.6,92.7
138.0,70.0,92.3
140.0,88.3,92.4
142.0,108.2,92.6
144.0,128.3,92.8
146.0,148.1,93.0
148.0,168.1,93.2
150.0,188.2,93.5
152.0,208.2,93.7
154.0,228.1,94.0
156.0,248.1,94.2
158.0,264.2,94.4
160.0,271.9,94.5
162.0,268.2,94.4
164.0,253.2,93.9
166.0,233.5,92.9
168.0,213.7,91.8
170.0,193.7,90.6
172.0,173.7,89.5
174.0,153.9,88.4
176.0,134.0,87.4
178.0,113.9,86.2
180.0,96.5,85.3
182.0,86.8,84.7
184.0,82.7,84.4
186.0,82.4,84.4
188.0,82.4,84.3
190.0,82.4,84.3
192.0,82.5,84.3
194.0,82.4,84.3
196.0,82.4,84.3
198.0,82.5,84.3
200.0,82.4,84.3
202.0,82.4,84.3
204.0,82.5,84.4
206.0,82.4,84.4
208.0,82.4,84.4
210.0,82.4,84.3
212.0,82.4,84.3
214.0,82.4,84.3
216.0,82.4,84.4
218.0,82.4,84.4
220.0,82.4,84.3
222.0,82.4,84.4
224.0,82.4,84.4
226.0,82.4,84.4
228.0,82.4,84.4
230.0,82.4,84.4
232.0,82.4,84.4
234.1,82.4,84.3
236.1,82.4,84.4
238.1,85.1,83.0
240.1,98.5,77.3
242.1,116.4,69.3
244.1,134.5,61.3
246.1,147.5,55.4
248.1,154.1,52.6
250.1,155.3,50.5
252.1,152.7,39.3
254.1,151.6,24.2
256.1,151.0,18.5
258.1,146.7,18.1
260.1,131.4,17.1
262.1,111.8,15.6
264.1,92.0,13.9
266.1,72.0,12.4
268.1,52.0,10.8
270.1,33.6,9.4
272.1,22.6,8.5
274.1,17.7,8.1
276.1,10.9,4.6
278.1,2.9,1.2
280.1,2.0,0.8
282.1,2.2,0.9
284.1,2.3,1.0
286.1,2.3,1.0
288.1,2.4,1.0
290.1,2.4,1.0
292.1,2.4,1.0
294.1,2.4,1.0
296.1,2.3,1.0
298.1,2.3,1.0
300.1,2.3,1.1
302.1,2.3,1.0
304.1,2.4,1.0
306.1,2.4,1.0
308.1,2.3,1.0
310.1,2.4,1.0
312.1,2.4,1.0
314.1,2.4,1.0
316.1,2.3,1.0
318.1,2.3,1.0
320.1,2.4,1.0
322.1,2.4,0.9
324.1,2.4,1.0
326.1,2.4,1.0
328.1,2.4,1.0
330.1,2.4,0.9
332.1,2.4,1.0
334.1,2.5,1.0
336.1,2.4,0.9
338.1,2.5,0.9
340.1,2.5,1.0
342.1,2.4,0.9
344.1,2.4,0.9
346.1,2.5,0.9
348.1,2.4,0.9
350.1,2.5,0.9
352.1,2.5,0.9
354.1,2.5,0.9
356.1,2.4,0.9
358.1,2.4,0.9
360.1,2.4,0.9
362.1,2.5,1.0
364.1,3.8,1.8
366.1,12.0,5.9
368.1,15.8,7.1
370.1,27.9,7.8
372.1,47.4,9.1
374.1,67.4,10.5
376.1,87.3,12.0
378.1,107.4,13.3
380.1,127.1,14.7
382.1,140.7,15.7
384.1,147.6,16.1
386.1,149.2,18.9
388.1,152.0,32.0
390.1,155.6,45.1
392.1,156.9,49.6
394.1,153.2,52.6
396.1,148.4,56.8
398.1,143.4,61.0
400.1,138.5,65.2
402.1,133.6,69.6
404.1,128.7,73.9
406.1,123.8,78.1
408.1,119.0,82.5
410.1,113.8,86.9
412.1,112.1,89.2
414.1,112.3,89.7
416.1,112.4,89.8
418.1,112.4,89.7
420.1,112.4,89.8
422.1,112.4,89.7
424.1,112.3,89.7
426.1,112.3,89.7
428.1,112.3,89.7
430.1,112.3,89.7
432.1,112.4,89.7
434.1,112.4,89.7
436.1,112.4,89.8
438.1,112.3,89.8
440.1,112.4,89.7
442.1,112.4,89.7
444.1,112.3,89.7
446.1,112.4,89.7
448.1,112.3,89.7
450.1,112.4,89.8
452.1,112.3,89.7
454.1,112.3,89.7
456.1,112.4,89.7
458.1,112.4,89.8
460.1,112.4,89.7
462.1,112.4,89.7
464.1,112.4,89.7
466.1,118.7,84.3
468.1,133.5,71.9
470.1,146.2,61.0
472.1,153.1,55.0
474.1,156.0,52.2
476.1,153.6,44.9
478.1,152.2,28.7
480.1,151.1,19.7
482.1,148.7,18.2
484.1,135.9,17.5
486.1,116.3,16.1
488.1,96.5,14.5
490.1,76.5,13.0
492.1,56.5,11.3
494.1,37.1,9.8
496.1,24.5,8.6
498.1,18.5,8.2
500.1,13.6,6.0
502.1,4.0,1.8
504.1,1.8,0.7
506.1,2.2,0.9
508.1,2.4,1.0
510.1,2.4,1.0
512.1,2.4,1.1
514.1,2.5,1.0
516.1,2.4,1.0
518.1,2.4,1.0
520.1,2.4,1.0
522.1,2.4,1.0
524.1,2.4,1.1
526.1,2.4,1.0
528.1,2.4,1.0
530.1,2.4,1.0
532.1,2.4,1.0
534.1,2.4,1.0
536.1,2.4,1.0
538.1,2.5,1.0
540.1,2.4,1.1
542.1,2.4,1.1
544.1,2.4,1.0
546.1,2.4,1.0
548.1,2.4,1.0
550.1,2.4,1.0
552.1,2.4,1.0
554.1,2.4,1.0
556.1,2.4,1.0
558.1,2.4,1.0
560.1,2.4,0.9
562.1,2.4,0.9
564.1,2.6,0.9
566.1,2.5,1.0
568.1,2.5,0.9
570.1,2.6,0.9
572.1,2.6,1.0
574.1,2.6,0.9
576.1,2.6,0.9
578.1,2.6,1.0
580.1,2.6,0.9
582.1,2.5,1.0
584.1,2.6,0.9
586.1,3.4,1.5
588.1,11.3,5.4
590.1,14.7,7.0
592.1,24.0,7.6
594.1,42.8,8.8
596.1,62.6,10.2
598.1,82.6,11.6
600.1,102.4,13.0
602.1,122.4,14.3
604.1,138.1,15.5
606.1,146.4,16.0
608.1,149.3,16.8
610.1,150.8,26.0
612.1,154.5,41.6
614.1,156.6,48.5
616.1,160.0,50.7
618.1,170.8,56.3
620.1,182.2,62.1
622.1,193.8,68.1
624.1,205.2,74.0
626.1,216.7,80.1
628.1,228.2,86.1
630.1,239.5,92.1
632.1,251.5,98.4
634.1,260.6,103.1
636.1,264.0,105.0
638.1,264.0,106.1
640.1,263.9,106.0
642.1,263.9,106.0
644.1,263.9,106.0
646.1,263.8,105.9
648.1,263.9,106.0
650.1,263.8,106.0
652.1,263.9,106.0
654.1,263.9,106.0
656.1,263.8,106.0
658.1,263.8,106.0
660.1,263.9,105.9
662.1,263.9,106.0
664.1,263.8,105.9
666.1,263.9,106.0
668.1,263.8,106.0
670.1,263.8,106.0
672.1,263.9,106.0
674.1,263.9,106.0
676.1,263.9,106.0
678.1,263.9,106.0
680.1,263.9,106.0
682.1,264.0,106.0
684.1,263.9,106.0
686.1,263.9,106.0
688.1,263.9,106.0
690.1,263.0,105.4
692.1,252.7,100.1
694.1,235.4,91.3
696.1,217.6,82.3
698.1,199.8,73.1
700.1,182.0,63.9
702.1,168.3,56.8
704.1,161.2,53.2
706.1,159.0,50.5
708.1,156.5,38.1
710.1,152.8,23.7
712.1,151.3,18.4
714.1,145.4,18.1
716.1,128.6,17.0
718.1,108.9,15.5
720.1,89.0,13.9
722.1,69.0,12.3
724.1,48.9,10.6
726.1,31.5,9.2
728.1,21.6,8.4
730.1,17.3,7.7
732.1,8.5,3.6
734.1,2.3,0.8
736.1,2.1,0.7
738.1,2.3,0.8
740.1,2.4,0.8
742.1,2.5,0.8
744.1,2.4,0.9
746.1,2.5,0.9
748.1,2.4,0.8
750.1,2.5,0.8
752.1,2.5,0.9
754.1,2.4,0.9
756.1,2.4,0.9
758.1,2.5,0.8
760.1,2.4,0.9
762.1,2.5,0.9
764.1,2.4,0.8
766.1,2.4,0.8
768.1,2.4,0.8
770.1,2.4,0.9
772.1,2.3,0.9
774.1,2.4,0.9
776.1,2.4,0.8
778.1,2.4,0.8
780.1,2.4,0.8
782.1,2.4,0.8
784.1,2.4,0.9
786.1,2.4,0.9
